hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
29036,0,0,0.0,0.15802067813445303,20000.0,4,0,26.0,0,2.0,9.0,0.0,0.0,1
29037,0,0,0.0,0.06251373150748622,23126.0,11,0,0.0,0,2.0,20.0,0.0,0.0,1
29038,2,2,1.0,0.034513756540231776,4400.0,4,0,26.0,0,2.0,14.0,1500.0,0.0,1
29039,0,0,0.0,0.5541598936013004,20000.0,12,0,0.0,0,2.0,22.0,0.0,0.0,1
29041,0,0,0.0,0.4981568197668626,20000.0,5,0,23.0,0,1.0,8.0,0.0,0.0,1
29042,1,0,0.0,0.21829713859091981,7000.0,6,0,34.0,0,2.0,10.0,0.0,0.0,1
29044,2,2,1.0,0.05026757507232878,8500.0,5,0,13.0,0,2.0,5.0,0.0,0.0,1
29045,0,0,0.0,0.2097344110419312,8500.0,9,0,0.0,0,1.0,7.0,2000.0,0.0,1
29046,1,0,0.0,0.4039587962027873,20000.0,7,0,16.0,0,2.0,11.0,0.0,0.0,1
29047,0,0,0.0,0.091922251069434,25600.0,12,0,26.0,0,2.0,36.0,600.0,0.0,1
29048,1,1,0.5,0.04001862516834448,5000.0,15,0,0.0,0,2.0,12.0,0.0,0.0,1
29050,0,0,0.0,0.5172275662232327,12200.0,7,1,25.0,0,1.0,16.0,2000.0,0.0,1
29051,0,0,0.0,0.09467148254341162,4000.0,3,1,23.0,0,2.0,4.0,0.0,0.0,1
29052,0,0,0.0,0.07503517273722057,3100.0,8,1,26.0,0,0.0,25.0,0.0,1.0,1
29053,1,1,0.5,0.002306229688878999,30000.0,7,0,26.0,0,1.0,5.0,0.0,0.0,1
29054,0,0,0.0,0.05336396616070257,50000.0,5,0,26.0,1,2.0,3.0,0.0,0.0,1
29055,0,0,0.0,0.1316498253416737,50000.0,7,0,26.0,0,2.0,5.0,0.0,0.0,1
29056,0,0,0.0,0.3234784551947234,2700.0,9,1,26.0,1,2.0,4.0,0.0,0.0,1
29057,1,0,0.0,0.301929840262958,3000.0,9,0,26.0,0,2.0,4.0,0.0,0.0,1
29058,0,0,0.0,0.2921611394502007,11000.0,8,1,26.0,0,2.0,13.0,0.0,0.0,1
29060,1,1,0.5,0.1858006806085325,11400.0,3,1,26.0,0,2.0,5.0,0.0,0.0,1
29061,1,1,0.5,0.08200754469411187,4046.86,3,0,26.0,1,2.0,3.0,0.0,0.0,1
29062,1,1,0.5,0.08258661271007971,10000.0,4,0,22.0,1,0.0,4.0,0.0,0.0,1
29063,0,0,0.0,0.06059137178865729,11547.3,4,0,25.0,1,2.0,6.0,0.0,0.0,1
